Taxa	trait1	trait2	trait3	trait4	trait5	trait6
9_3	0.015363953	2.840681045	-2.689045451	-133.2090739	-5.263844811	-78.77794621
9_4	0.006739696	-4.017860053	1.07231274	-786.058902	-12.17278954	73.19762449
9_5	0.017715164	2.044620177	3.496105345	1602.689033	-5.479301267	132.3180081
9_6	0.010092394	0.276153039	5.717352165	-330.4454133	-10.95702727	-193.3271685
9_7	0.010668766	2.699780502	-4.910601811	-900.2205481	-14.54674178	-122.1225141
9_8	0.030304841	6.255447129	-4.300516879	-1658.903797	-4.646777024	188.2437536
9_9	-0.004461522	3.547255825	-3.656694331	-899.3408209	-6.518966851	-189.479242
9_10	0.021673823	7.689220237	-3.01114386	-1093.508391	-0.226488722	-183.2797784
9_11	0.001827085	-0.712206206	5.442534802	1013.294568	0.869567783	113.2370774
9_12	0.019228968	-1.067927625	1.263697195	-1243.323934	-3.439367954	-28.98421997
9_13	0.004666545	2.902152361	-0.282870165	-338.1363172	-6.928843443	-96.47017624
9_14	0.012615173	0.698854666	-1.515600215	1217.118717	-8.278430851	-116.1005176
9_15	0.013534987	3.980317784	-1.16359444	-1260.497007	-12.61117493	9.097347933
9_16	0.022090876	4.70692254	5.682054764	-297.6706567	-5.444883752	-35.94498219
9_17	0.015634404	1.951073701	0.587695722	-891.2268816	-13.23521804	-76.77953124
9_18	-0.007691621	1.8336732	4.463247541	618.2835186	1.444881974	63.46844512
9_19	0.027364576	2.336478123	-1.247790456	-1071.727579	-10.42524807	-134.3694796
9_20	0.003129179	2.532306766	-3.290575503	-1047.430919	2.852460742	-193.736761
9_21	0.029234392	0.825250741	-0.783744359	-1707.910702	-12.54211233	-154.2567173
9_22	0.003336563	5.14912071	-0.08489931	-718.0164344	-7.997215236	-79.70764348
9_23	0.028995151	0.455732163	-4.775068317	-825.2202664	-6.725716433	-170.580996
9_24	0.003994941	1.348102263	-3.621609405	-1681.947501	2.162179536	-204.2212128
9_25	0.019490623	3.09151063	4.352861277	1244.975714	17.19624555	-28.55272895
9_26	-0.009224009	-0.965579372	0.634978992	1189.128322	8.837345327	69.13441644
9_27	-0.002387702	-4.190532286	0.936277328	-131.3993374	-1.676961196	-119.6461894
9_28	0.037562956	0.772067694	-1.75467463	-385.67411	-13.56220816	-200.9356563
9_29	0.009276952	0.005696201	-2.081712225	1433.412977	15.98752102	-98.49056512
9_30	0.026301192	1.864737584	-3.13854642	-1135.675724	-6.790106779	-130.4254373
9_31	0.00356687	8.755050373	-3.620223035	-678.9293123	-2.275985673	-195.7176279
9_32	0.021301151	4.2156587	-3.19984321	-825.5920957	3.392594453	-179.8735368
12_1	-0.001942613	-0.464181368	4.643695706	-1249.380717	10.40884705	235.9041634
12_2	0.008107279	-3.133087532	1.441772271	853.5560672	3.646024293	121.8457374
